"CARRERA,C,3","PLAN,C,2","ACTA,C,5","ORDEN,C,2","LIBRO,C,5","MATERIA,C,3","TURNO,C,1","CATEDRA,C,1","FECH_ACTA,D","PROCES,L","FECPRO,D","INSCR,N,2,0","AUSENT,N,2,0","EXAMIN,N,2,0","SOBRES,N,2,0","DISTIN,N,2,0","BUENO,N,2,0","SUFIC,N,2,0","INSUF,N,2,0","REPROB,N,2,0","NOCORR,N,2,0","RECLIB,C,5","RECACT,C,5","OBSERV,M"
822,85,02750,,    1,048,1,,05/24/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
828,85,02780,,    1,027,1,,05/24/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
822,85,02411,,    1,017,1,,05/24/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,02860,,    1,118,1,,05/26/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,78,02910,,    1,032,1,,05/26/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
401,86,02930,,    1,024,1,,05/26/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
802,86,03080,,    1,003,1,,05/26/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
805,86,03100,,    1,040,1,,05/26/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
812,86,03170,,    1,003,1,,05/26/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
812,86,03180,,    1,040,1,,05/26/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
820,85,03200,,    1,022,1,,05/26/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
822,85,03230,,    1,051,1,,05/26/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,03340,,    1,023,1,,05/24/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,03350,,    1,029,1,,05/24/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
822,85,03410,,    1,088,1,,05/26/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
822,85,02741,,    1,033,1,,05/24/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
824,85,03450,,    1,039,1,,05/26/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
826,85,02471,,    1,033,1,,05/24/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
441,86,03590,,    1,051,1,,05/29/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
451,86,03610,,    1,054,1,,05/29/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
451,86,03620,,    1,064,1,,05/29/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,03750,,    1,028,1,,05/29/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,03830,,    1,150,1,,05/29/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
831,89,03870,,    1,015,1,,05/29/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
832,89,03880,,    1,031,1,,05/29/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
832,89,03890,,    1,040,1,,05/29/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
822,85,03970,,    1,030,1,,11/09/1992,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
822,85,03990,,    1,030,1,,11/09/1992,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
822,85,04000,,    1,030,1,,11/09/1992,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,04020,,    1,011,2,A,05/29/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,04040,,    1,025,2,A,05/29/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
